Mortality Type,Sex,Year,Deaths
Avoidable mortality,Female,2007,12324
Preventable mortality,Female,2007,6627
Treatable mortality,Female,2007,5697
Avoidable mortality,Female,2008,12592
Preventable mortality,Female,2008,6751.5
Treatable mortality,Female,2008,5840.5
Avoidable mortality,Female,2009,12766
Preventable mortality,Female,2009,6948.5
Treatable mortality,Female,2009,5817.5
Avoidable mortality,Female,2010,12569
Preventable mortality,Female,2010,6891.5
Treatable mortality,Female,2010,5677.5
Avoidable mortality,Female,2011,12771
Preventable mortality,Female,2011,7008.5
Treatable mortality,Female,2011,5762.5
Avoidable mortality,Female,2012,12650
Preventable mortality,Female,2012,7034
Treatable mortality,Female,2012,5616
Avoidable mortality,Female,2013,12817
Preventable mortality,Female,2013,7157
Treatable mortality,Female,2013,5660
Avoidable mortality,Female,2014,13358
Preventable mortality,Female,2014,7547
Treatable mortality,Female,2014,5811
Avoidable mortality,Female,2015,13759
Preventable mortality,Female,2015,7921.5
Treatable mortality,Female,2015,5837.5
Avoidable mortality,Female,2016,13566
Preventable mortality,Female,2016,7660
Treatable mortality,Female,2016,5906
Avoidable mortality,Female,2017,13798
Preventable mortality,Female,2017,8033.5
Treatable mortality,Female,2017,5764.5
Avoidable mortality,Female,2018,13707
Preventable mortality,Female,2018,7964.5
Treatable mortality,Female,2018,5742.5
Avoidable mortality,Female,2019,14405
Preventable mortality,Female,2019,8302.5
Treatable mortality,Female,2019,6102.5
Avoidable mortality,Female,2020,13793
Preventable mortality,Female,2020,7913.5
Treatable mortality,Female,2020,5879.5
Avoidable mortality,Female,2021,14232
Preventable mortality,Female,2021,8338.5
Treatable mortality,Female,2021,5893.5
Avoidable mortality,Female,2022,15278
Preventable mortality,Female,2022,9189
Treatable mortality,Female,2022,6089
Avoidable mortality,Male,2000,24884
Preventable mortality,Male,2000,17024
Treatable mortality,Male,2000,7860
Avoidable mortality,Male,2001,24175
Preventable mortality,Male,2001,16519
Treatable mortality,Male,2001,7656
Avoidable mortality,Male,2002,23513
Preventable mortality,Male,2002,16067
Treatable mortality,Male,2002,7446
Avoidable mortality,Male,2003,22867
Preventable mortality,Male,2003,15557
Treatable mortality,Male,2003,7310
Avoidable mortality,Male,2004,22165
Preventable mortality,Male,2004,15291.5
Treatable mortality,Male,2004,6873.5
Avoidable mortality,Male,2005,0
Preventable mortality,Male,2005,0
Treatable mortality,Male,2005,0
Avoidable mortality,Male,2006,21231
Preventable mortality,Male,2006,14665
Treatable mortality,Male,2006,6566
Avoidable mortality,Male,2007,21407
Preventable mortality,Male,2007,14827.5
Treatable mortality,Male,2007,6579.5
Avoidable mortality,Male,2008,22030
Preventable mortality,Male,2008,15491
Treatable mortality,Male,2008,6539
Avoidable mortality,Male,2009,22041
Preventable mortality,Male,2009,15608
Treatable mortality,Male,2009,6433
Avoidable mortality,Male,2010,21830
Preventable mortality,Male,2010,15447
Treatable mortality,Male,2010,6383
Avoidable mortality,Male,2011,21811
Preventable mortality,Male,2011,15478
Treatable mortality,Male,2011,6333
Avoidable mortality,Male,2012,21412
Preventable mortality,Male,2012,15230.5
Treatable mortality,Male,2012,6181.5
Avoidable mortality,Male,2013,22023
Preventable mortality,Male,2013,15756.5
Treatable mortality,Male,2013,6266.5
Avoidable mortality,Male,2014,22595
Preventable mortality,Male,2014,16251
Treatable mortality,Male,2014,6344
Avoidable mortality,Male,2015,23222
Preventable mortality,Male,2015,16670.5
Treatable mortality,Male,2015,6551.5
Avoidable mortality,Male,2016,22893
Preventable mortality,Male,2016,16447.5
Treatable mortality,Male,2016,6445.5
Avoidable mortality,Male,2017,23167
Preventable mortality,Male,2017,16727
Treatable mortality,Male,2017,6440
Avoidable mortality,Male,2018,23251
Preventable mortality,Male,2018,16847.5
Treatable mortality,Male,2018,6403.5
Avoidable mortality,Male,2019,24588
Preventable mortality,Male,2019,17785.5
Treatable mortality,Male,2019,6802.5
Avoidable mortality,Male,2020,23249
Preventable mortality,Male,2020,16854
Treatable mortality,Male,2020,6395
Avoidable mortality,Male,2021,23461
Preventable mortality,Male,2021,17016
Treatable mortality,Male,2021,6445
Avoidable mortality,Male,2022,25172
Preventable mortality,Male,2022,18482.5
Treatable mortality,Male,2022,6689.5
